Seat No.,Exam Name,Student Name,College Name,Enrollment No.,SP ID,Subject Name,Ext Marks,Internal Marks,Total Marks,GL,GP,Credit,Total Outoff,SGPA/YGPA,Result
191,BCA Semester Exam,Manoj Mehta,ABC College,JOZL5VSWWP,100343,Web Technology,50,0,50,F,9.88,5,100,9.38,PASS
192,BCA Semester Exam,Divya Kumar,Royal Academy,0PVQF9N3PQ,641038,C Programming,3,3,6,A,5.31,4,100,8.33,FAIL
193,BCA Semester Exam,Divya Gupta,Sunshine Institute,8YC53OJ8A1,634312,Cyber Security,34,12,46,A,4.75,5,100,8.85,PASS
194,BCA Semester Exam,Divya Shah,Royal Academy,8WKXQLOHIS,423291,Data Structures,67,26,93,F,9.08,5,100,9.03,PASS
195,BCA Semester Exam,Sneha Tiwari,Sunshine Institute,S6EP4R4YR2,253727,PHP & MySQL,1,24,25,E,4.31,3,100,4.23,FAIL
196,BCA Semester Exam,Divya Chauhan,Sunshine Institute,Z2FEK9WNTX,196855,Computer Fundamentals,6,2,8,E,9.2,1,100,8.98,FAIL
197,BCA Semester Exam,Priya Kumar,ABC College,EL0FDRAXKU,268720,Web Technology,1,30,31,B,4.04,4,100,4.36,FAIL
198,BCA Semester Exam,Sneha Kumar,Sunshine Institute,8LHE4RTLYL,802762,E-Commerce,18,16,34,D,7.5,1,100,4.02,FAIL
199,BCA Semester Exam,Neha Sen,Paramount Institute,7750RDP415,874712,DBMS,2,1,3,F,7.25,1,100,6.7,FAIL
200,BCA Semester Exam,Neha Patel,Paramount Institute,I04IDSA89G,678628,Cloud Computing,13,25,38,F,8.09,1,100,5.62,FAIL
201,BCA Semester Exam,Karan Sen,Sunshine Institute,68UFAV7CF0,370556,Web Technology,25,23,48,E,5.14,4,100,5.15,PASS
202,BCA Semester Exam,Heena Kumar,Paramount Institute,X0KLSSKF2S,409334,PHP & MySQL,22,19,41,F,5.68,3,100,9.9,PASS
203,BCA Semester Exam,Neha Kumar,Sunshine Institute,J7HBPWRVE6,322803,DBMS,63,10,73,E,6.01,1,100,6.88,PASS
204,BCA Semester Exam,Heena Rana,Bright Future College,9VRDGYS20L,806032,C++ Programming,13,3,16,A,8.33,5,100,9.24,FAIL
205,BCA Semester Exam,Sneha Joshi,Global Science College,TAK4WBIMEY,371504,Data Analytics,47,28,75,A,7.29,5,100,5.92,PASS
206,BCA Semester Exam,Karan Sen,XYZ Institute,T3X7MCC7EA,592232,Mathematics,9,30,39,D,6.43,1,100,4.29,FAIL
207,BCA Semester Exam,Heena Tiwari,Sunshine Institute,FJPJXOUI9Y,182599,Python Programming,67,13,80,F,8.32,4,100,9.88,PASS
208,BCA Semester Exam,Neha Tiwari,Paramount Institute,N9QFNPNL78,228951,Python Programming,1,2,3,F,4.95,5,100,7.76,FAIL
209,BCA Semester Exam,Manoj Chauhan,ABC College,QY4QXWKQV3,908489,Python Programming,54,11,65,E,4.31,5,100,4.98,PASS
210,BCA Semester Exam,Karan Shah,XYZ Institute,H2YUU3NIXF,517095,Digital Electronics,3,12,15,B,5.33,5,100,6.98,FAIL
211,BCA Semester Exam,Manoj Mehta,Paramount Institute,279OLDFY0U,463140,Web Technology,42,10,52,E,8.4,5,100,7.53,PASS
212,BCA Semester Exam,Divya Mehta,Global Science College,O6SGFULIG7,342999,Unix/Linux Programming,5,10,15,C,8.9,1,100,8.66,FAIL
213,BCA Semester Exam,Neha Patel,Sunshine Institute,SAF3C1D2W0,229719,Computer Networks,16,10,26,F,8.49,5,100,9.64,FAIL
214,BCA Semester Exam,Priya Joshi,Global Science College,KKQU15G0VR,617405,Machine Learning,63,12,75,B,8.4,5,100,4.92,PASS
215,BCA Semester Exam,Sneha Chauhan,Royal Academy,BDC83ROYD3,972163,Digital Electronics,6,6,12,D,5.14,4,100,8.35,FAIL
216,BCA Semester Exam,Divya Rana,XYZ Institute,BNADSC2KMY,634017,IoT,17,23,40,C,6.9,1,100,8.26,PASS
217,BCA Semester Exam,Rohan Kumar,Global Science College,B3QM9MURKG,831943,Mobile App Development,42,2,44,C,4.75,3,100,7.74,PASS
218,BCA Semester Exam,Neha Chauhan,Global Science College,DSEJ9WGOD4,926296,Data Analytics,55,18,73,A,7.35,4,100,4.69,PASS
219,BCA Semester Exam,Suresh Chauhan,XYZ Institute,QUMYEKIJYE,649297,DBMS,22,25,47,E,7.49,3,100,9.09,PASS
220,BCA Semester Exam,Priya Tiwari,Royal Academy,B8USTS8NO9,823770,Operating Systems,54,27,81,D,9.01,3,100,8.87,PASS
221,BCA Semester Exam,Heena Chauhan,ABC College,ZVMWQ5DN8G,305530,Computer Networks,31,21,52,A,9.83,5,100,7.92,PASS
222,BCA Semester Exam,Rohan Rana,XYZ Institute,850ZQD5KEO,534804,Java Programming,47,6,53,D,6.28,2,100,5.41,PASS
223,BCA Semester Exam,Karan Joshi,Bright Future College,LQ7ZAZTLM6,630978,Mathematics,16,3,19,A,4.12,3,100,6.4,FAIL
224,BCA Semester Exam,Sneha Sen,Paramount Institute,8OUTI1UJS6,490933,Unix/Linux Programming,4,13,17,F,7.38,4,100,8.32,FAIL
225,BCA Semester Exam,Sneha Patel,ABC College,05DPT4B7W6,524017,Cloud Computing,5,10,15,C,7.33,1,100,8.09,FAIL
226,BCA Semester Exam,Rohan Sen,Paramount Institute,PK99MA3RDB,630148,Data Structures,67,1,68,D,5.87,1,100,7.79,PASS
227,BCA Semester Exam,Manoj Shah,Royal Academy,2UBJKIG7W2,139134,Computer Fundamentals,19,12,31,A,6.9,2,100,8.7,FAIL
228,BCA Semester Exam,Amit Kumar,Royal Academy,D3RTQ8UUH2,751774,DBMS,42,29,71,A,6.47,4,100,5.8,PASS
229,BCA Semester Exam,Sneha Rana,Sunshine Institute,3EFVVIF3RX,900161,Computer Networks,44,22,66,C,5.76,5,100,9.89,PASS
230,BCA Semester Exam,Divya Shah,Sunshine Institute,6JJ7XCCWG7,648201,Mathematics,65,26,91,B,5.04,4,100,7.81,PASS
231,BCA Semester Exam,Amit Kumar,Global Science College,3FELGUAS8T,711574,E-Commerce,57,1,58,A,4.56,2,100,9.03,PASS
232,BCA Semester Exam,Neha Chauhan,Global Science College,EON8H1HM11,729006,DBMS,48,7,55,A,5.1,5,100,9.46,PASS
233,BCA Semester Exam,Karan Tiwari,Paramount Institute,FDYG2D1UP7,783809,PHP & MySQL,33,13,46,A,4.5,4,100,9.52,PASS
234,BCA Semester Exam,Amit Gupta,Bright Future College,AXHBW3QKQ0,263053,DBMS,11,18,29,A,7.05,5,100,5.37,FAIL
235,BCA Semester Exam,Neha Rana,Sunshine Institute,KCKMDDD70Y,228711,Data Structures,53,26,79,A,5.62,1,100,9.5,PASS
236,BCA Semester Exam,Divya Joshi,Royal Academy,G2P0RDTS6G,712700,E-Commerce,69,24,93,A,4.44,4,100,5.0,PASS
237,BCA Semester Exam,Heena Chauhan,Sunshine Institute,JBHIFUDBR1,361675,Java Programming,69,22,91,E,6.78,3,100,9.18,PASS
238,BCA Semester Exam,Sneha Tiwari,Royal Academy,6FFBHT3G8S,965069,Mobile App Development,6,13,19,A,8.28,1,100,6.87,FAIL
239,BCA Semester Exam,Manoj Mehta,Bright Future College,ZUE85LIONF,810218,E-Commerce,44,20,64,F,9.03,4,100,4.17,PASS
240,BCA Semester Exam,Manoj Sen,XYZ Institute,NL9OOI1FZN,255811,E-Commerce,66,19,85,B,4.61,1,100,7.14,PASS
241,BCA Semester Exam,Rohan Gupta,Global Science College,T3Q5UPQKF5,119840,Data Analytics,1,12,13,D,5.14,1,100,4.31,FAIL
242,BCA Semester Exam,Amit Sen,XYZ Institute,72QUUUM2NN,472547,Big Data,60,8,68,E,8.18,3,100,5.72,PASS
243,BCA Semester Exam,Amit Shah,ABC College,7ER5ML1GYO,772441,C++ Programming,13,3,16,A,8.06,5,100,5.09,FAIL
244,BCA Semester Exam,Divya Kumar,ABC College,XDQA6F5HC2,125479,E-Commerce,23,26,49,C,6.18,2,100,5.29,PASS
245,BCA Semester Exam,Amit Gupta,XYZ Institute,45F9KKW4MY,509687,.NET Technology,13,0,13,C,8.12,5,100,6.74,FAIL
246,BCA Semester Exam,Priya Sen,Paramount Institute,TJS08UXO07,569645,E-Commerce,13,23,36,B,4.72,2,100,4.77,FAIL
247,BCA Semester Exam,Amit Chauhan,XYZ Institute,O08SPPPW55,553356,Data Analytics,59,7,66,E,4.87,5,100,7.96,PASS
248,BCA Semester Exam,Neha Sen,Paramount Institute,8W25VKSJR0,858591,Artificial Intelligence,47,18,65,D,5.28,3,100,7.74,PASS
249,BCA Semester Exam,Neha Joshi,ABC College,NOZ03J00YD,410724,Mathematics,45,3,48,D,7.53,3,100,5.25,PASS
250,BCA Semester Exam,Karan Gupta,Paramount Institute,TYEM1M13TH,617453,.NET Technology,60,9,69,D,5.48,2,100,7.74,PASS
251,BCA Semester Exam,Neha Chauhan,ABC College,XC9C8F2QEX,974676,Data Analytics,51,30,81,A,7.08,5,100,8.18,PASS
252,BCA Semester Exam,Suresh Kumar,ABC College,M133M83YVZ,863934,PHP & MySQL,62,5,67,D,9.58,1,100,8.52,PASS
253,BCA Semester Exam,Sneha Mehta,ABC College,6AHXTA8DBZ,172201,Artificial Intelligence,69,20,89,E,7.71,5,100,5.9,PASS
254,BCA Semester Exam,Heena Chauhan,XYZ Institute,E1VDE7EI7H,458995,E-Commerce,6,11,17,A,9.8,1,100,9.8,FAIL
255,BCA Semester Exam,Sneha Tiwari,Sunshine Institute,HJLHH6OFC2,785146,Artificial Intelligence,64,6,70,D,5.45,5,100,6.75,PASS
256,BCA Semester Exam,Karan Rana,Royal Academy,5YQZD0XLXZ,413056,Data Analytics,42,27,69,D,8.02,2,100,5.17,PASS
257,BCA Semester Exam,Heena Patel,ABC College,4YJTACNUW6,661000,Mobile App Development,70,26,96,E,5.71,1,100,8.77,PASS
258,BCA Semester Exam,Suresh Mehta,XYZ Institute,SQ31MQIQG8,518996,Digital Electronics,46,27,73,D,8.61,2,100,9.51,PASS
259,BCA Semester Exam,Priya Shah,Sunshine Institute,804SWG9PKS,324471,Operating Systems,24,5,29,F,8.97,1,100,8.69,FAIL
260,BCA Semester Exam,Neha Gupta,Royal Academy,UQ2OXMJXNG,733063,Cloud Computing,18,22,40,A,7.17,4,100,7.94,PASS
261,BCA Semester Exam,Priya Patel,XYZ Institute,KGI1YRO60I,902619,Big Data,26,24,50,A,5.56,4,100,7.3,PASS
262,BCA Semester Exam,Sneha Mehta,Paramount Institute,5KBU74QOF9,631915,PHP & MySQL,0,29,29,A,8.98,4,100,9.63,FAIL
263,BCA Semester Exam,Manoj Rana,Sunshine Institute,F57548W5T2,848914,Digital Electronics,69,9,78,E,8.99,4,100,4.65,PASS
264,BCA Semester Exam,Sneha Chauhan,Bright Future College,W38HN1EUNB,525285,Web Technology,33,0,33,B,5.37,3,100,5.3,FAIL
265,BCA Semester Exam,Rohan Patel,XYZ Institute,Z65UVLEPHK,293192,Cyber Security,2,12,14,E,9.97,1,100,4.39,FAIL
266,BCA Semester Exam,Amit Rana,ABC College,RIFSX47TCJ,159835,Machine Learning,30,20,50,F,5.63,2,100,7.08,PASS
267,BCA Semester Exam,Neha Joshi,ABC College,MC9HRLO4R7,141443,Software Engineering,63,26,89,C,6.18,2,100,9.37,PASS
268,BCA Semester Exam,Amit Shah,Bright Future College,O1WPM29D3L,881647,Computer Networks,58,10,68,F,7.94,3,100,5.82,PASS
269,BCA Semester Exam,Priya Kumar,Global Science College,AAO11ZQONV,467774,DBMS,40,27,67,B,7.71,3,100,4.93,PASS
270,BCA Semester Exam,Priya Shah,ABC College,G2G2MRN8P6,153830,Data Structures,23,9,32,A,9.66,4,100,5.27,FAIL
271,BCA Semester Exam,Heena Tiwari,Paramount Institute,RWUIAUG62Y,232646,IoT,58,8,66,F,4.07,3,100,8.32,PASS
272,BCA Semester Exam,Priya Gupta,XYZ Institute,VDKXMP5L2D,500692,Operating Systems,41,7,48,B,6.42,2,100,9.99,PASS
273,BCA Semester Exam,Priya Joshi,Paramount Institute,ZP2ID4U6JZ,705117,Computer Fundamentals,36,0,36,D,7.67,3,100,6.48,FAIL
274,BCA Semester Exam,Rohan Kumar,Paramount Institute,23542YRGZM,624753,Operating Systems,49,25,74,A,8.48,2,100,4.89,PASS
275,BCA Semester Exam,Neha Sen,Paramount Institute,K8YUXV0WIF,135754,Data Structures,43,16,59,A,9.33,5,100,5.48,PASS
276,BCA Semester Exam,Divya Gupta,Global Science College,QXVOUY27RJ,687950,Python Programming,52,7,59,F,6.0,1,100,5.65,PASS
277,BCA Semester Exam,Amit Rana,ABC College,MQH6LW4U6D,240968,Web Technology,15,10,25,D,5.49,4,100,9.41,FAIL
278,BCA Semester Exam,Rohan Chauhan,XYZ Institute,OV03GNND64,829611,DBMS,68,6,74,B,9.65,2,100,9.98,PASS
279,BCA Semester Exam,Amit Joshi,Royal Academy,1OSLKOI3QL,477429,Software Engineering,24,6,30,F,7.68,3,100,6.54,FAIL
280,BCA Semester Exam,Sneha Chauhan,XYZ Institute,BVBY24NLJ7,270070,Python Programming,11,10,21,E,6.9,4,100,9.97,FAIL
281,BCA Semester Exam,Divya Sen,Sunshine Institute,KVUMU952H8,176961,Digital Electronics,0,23,23,D,5.0,3,100,7.59,FAIL
282,BCA Semester Exam,Sneha Rana,Paramount Institute,KOSJS3SZZT,419945,Computer Networks,23,9,32,A,5.91,1,100,6.16,FAIL
283,BCA Semester Exam,Manoj Joshi,XYZ Institute,84PZH0V04W,914721,.NET Technology,36,21,57,B,5.4,1,100,9.79,PASS
284,BCA Semester Exam,Rohan Rana,XYZ Institute,JQYD7QEDA0,110425,Computer Networks,58,11,69,B,9.65,3,100,6.77,PASS
285,BCA Semester Exam,Manoj Chauhan,XYZ Institute,JBZLTITYRQ,186798,DBMS,64,23,87,E,9.64,1,100,6.82,PASS
286,BCA Semester Exam,Karan Mehta,Sunshine Institute,A092VMK1CY,738452,Operating Systems,3,20,23,D,4.76,4,100,4.22,FAIL
287,BCA Semester Exam,Manoj Joshi,Sunshine Institute,SPEEPYCFHW,330462,Cyber Security,19,23,42,C,5.16,2,100,7.62,PASS
288,BCA Semester Exam,Priya Shah,Royal Academy,FE6UKBENSP,808943,Software Engineering,56,29,85,D,8.06,3,100,6.98,PASS
289,BCA Semester Exam,Divya Tiwari,ABC College,8N8DNYR8A9,136491,Cyber Security,5,10,15,A,7.61,3,100,5.47,FAIL
290,BCA Semester Exam,Amit Mehta,Bright Future College,XXRA8RV3A2,228955,C Programming,14,4,18,D,9.28,2,100,7.19,FAIL
291,BCA Semester Exam,Manoj Tiwari,Paramount Institute,CPMK8C3J21,708961,Computer Fundamentals,59,26,85,F,8.24,3,100,6.09,PASS
292,BCA Semester Exam,Divya Chauhan,ABC College,OHYXDFASGA,496967,Mobile App Development,2,4,6,F,9.9,4,100,4.39,FAIL
293,BCA Semester Exam,Heena Shah,Royal Academy,X47X1SPAI5,313690,Data Analytics,53,6,59,A,6.32,5,100,8.17,PASS
294,BCA Semester Exam,Suresh Shah,Sunshine Institute,AF27N1H5DZ,771255,Big Data,59,2,61,A,9.11,2,100,7.46,PASS
295,BCA Semester Exam,Sneha Rana,Sunshine Institute,7PW0KJDAV1,274317,Big Data,39,18,57,B,6.23,5,100,6.5,PASS
296,BCA Semester Exam,Sneha Rana,Paramount Institute,TRVPN1YHZW,575030,C Programming,6,27,33,E,8.82,5,100,9.89,FAIL
297,BCA Semester Exam,Manoj Gupta,Global Science College,596LPO4WNI,660506,Machine Learning,60,18,78,F,5.96,2,100,8.9,PASS
298,BCA Semester Exam,Amit Sen,Sunshine Institute,N0ELS0465C,784485,Software Engineering,27,29,56,A,7.99,1,100,9.96,PASS
299,BCA Semester Exam,Neha Kumar,Bright Future College,EXB27OT874,862768,Cloud Computing,40,27,67,A,5.96,1,100,6.82,PASS
300,BCA Semester Exam,Karan Chauhan,XYZ Institute,2E7LKCS1GA,708498,Mathematics,41,15,56,F,8.79,3,100,7.34,PASS
301,BCA Semester Exam,Heena Rana,ABC College,LX4RCOHF8Q,828105,Data Structures,35,18,53,F,4.26,5,100,7.63,PASS
302,BCA Semester Exam,Heena Mehta,Global Science College,LBKJ036CWN,737376,Data Structures,37,22,59,E,7.1,3,100,5.4,PASS
303,BCA Semester Exam,Sneha Patel,XYZ Institute,K72A3D46E9,465727,Cyber Security,21,19,40,C,5.24,5,100,8.23,PASS
304,BCA Semester Exam,Amit Gupta,XYZ Institute,D5GCJ540LL,578869,Python Programming,27,13,40,D,5.63,1,100,8.04,PASS
305,BCA Semester Exam,Divya Sen,Paramount Institute,NM5EI69L2O,647040,Mathematics,45,22,67,B,7.02,4,100,6.83,PASS
306,BCA Semester Exam,Rohan Joshi,Bright Future College,MW3GFP3VJT,444266,Mathematics,16,8,24,B,5.45,2,100,4.42,FAIL
307,BCA Semester Exam,Priya Sen,Sunshine Institute,NJBVAN1TLZ,924359,Data Analytics,13,11,24,B,6.95,4,100,7.11,FAIL
308,BCA Semester Exam,Priya Kumar,Royal Academy,NZSRNRL64M,619879,E-Commerce,33,11,44,D,8.38,2,100,6.83,PASS
309,BCA Semester Exam,Rohan Patel,Royal Academy,1NMB689JZF,558674,Web Technology,53,30,83,B,5.8,2,100,5.54,PASS
310,BCA Semester Exam,Heena Gupta,ABC College,G9J7E2O03G,983016,Data Analytics,32,0,32,F,6.88,4,100,5.05,FAIL
311,BCA Semester Exam,Heena Gupta,Sunshine Institute,LSNHQT51X4,115271,Cloud Computing,50,28,78,D,5.87,3,100,6.89,PASS
312,BCA Semester Exam,Divya Shah,Royal Academy,SO9SAJ5ONX,712973,.NET Technology,37,16,53,B,6.18,3,100,9.47,PASS
313,BCA Semester Exam,Sneha Tiwari,Global Science College,U41BL7FEFS,896332,E-Commerce,12,16,28,F,9.48,1,100,8.11,FAIL
314,BCA Semester Exam,Rohan Kumar,XYZ Institute,J98CVKG72E,683965,Mathematics,55,13,68,D,6.86,2,100,9.04,PASS
315,BCA Semester Exam,Divya Patel,Royal Academy,8HY8DEM2YF,798780,Web Technology,39,2,41,F,7.77,4,100,9.83,PASS
316,BCA Semester Exam,Neha Joshi,Global Science College,8GD45ZRAS7,219897,DBMS,70,28,98,B,8.23,5,100,9.15,PASS
317,BCA Semester Exam,Rohan Joshi,Global Science College,V3901AJGMS,426670,Computer Fundamentals,35,2,37,C,4.03,1,100,6.03,FAIL
318,BCA Semester Exam,Sneha Joshi,Global Science College,Z87Q45QR3X,223359,Data Structures,52,17,69,D,7.29,3,100,4.02,PASS
319,BCA Semester Exam,Amit Chauhan,Sunshine Institute,45N9GYVV1M,696168,C++ Programming,52,26,78,E,4.25,5,100,8.42,PASS
320,BCA Semester Exam,Suresh Joshi,XYZ Institute,M53Q1VSBUA,413600,IoT,59,2,61,E,8.58,1,100,4.72,PASS
321,BCA Semester Exam,Manoj Tiwari,Global Science College,R19I34RJK3,383885,Computer Networks,45,5,50,E,9.01,4,100,8.96,PASS
322,BCA Semester Exam,Heena Chauhan,ABC College,TPOA04DDBS,138285,Data Analytics,7,10,17,A,8.9,3,100,7.43,FAIL
323,BCA Semester Exam,Priya Patel,Paramount Institute,NG61RCKXPP,380023,C Programming,46,22,68,E,6.08,5,100,6.76,PASS
324,BCA Semester Exam,Rohan Kumar,Global Science College,INQTMYY5RE,838290,PHP & MySQL,49,9,58,C,8.66,5,100,5.54,PASS
325,BCA Semester Exam,Priya Kumar,Paramount Institute,980ZQW2TRC,335333,Big Data,6,23,29,B,4.99,4,100,5.65,FAIL
326,BCA Semester Exam,Neha Mehta,Paramount Institute,FVKOP1I9AN,903967,Digital Electronics,52,28,80,E,6.56,3,100,5.34,PASS
327,BCA Semester Exam,Neha Gupta,Paramount Institute,YOM9GTP32O,722481,Operating Systems,37,29,66,C,4.81,3,100,4.25,PASS
328,BCA Semester Exam,Divya Mehta,XYZ Institute,1BE0EQD48B,905497,Mobile App Development,23,4,27,C,8.64,1,100,7.68,FAIL
329,BCA Semester Exam,Suresh Chauhan,Paramount Institute,ZNN3ZSDY0P,790605,Mobile App Development,2,6,8,C,7.08,3,100,9.06,FAIL
330,BCA Semester Exam,Sneha Sen,Bright Future College,Y63HZ069ON,169578,Data Analytics,44,19,63,B,6.93,5,100,8.0,PASS
331,BCA Semester Exam,Amit Chauhan,Sunshine Institute,D9LYVS3CEO,721984,DBMS,15,22,37,E,7.62,1,100,5.38,FAIL
332,BCA Semester Exam,Neha Kumar,ABC College,HWFVNMHUQY,752281,Operating Systems,20,4,24,C,6.89,4,100,9.37,FAIL
333,BCA Semester Exam,Karan Sen,Global Science College,LAZD2ERNGS,407931,Computer Fundamentals,11,6,17,C,5.67,5,100,8.97,FAIL
334,BCA Semester Exam,Neha Joshi,Global Science College,BKCXRWQWWX,752007,DBMS,55,11,66,E,5.8,2,100,6.03,PASS
335,BCA Semester Exam,Manoj Tiwari,Sunshine Institute,K683W0DU1M,556317,DBMS,46,28,74,B,8.64,5,100,9.91,PASS
336,BCA Semester Exam,Karan Shah,Global Science College,URRORA3CJV,559536,Digital Electronics,70,20,90,C,9.87,4,100,5.31,PASS
337,BCA Semester Exam,Karan Chauhan,XYZ Institute,EJWO1UIV94,569171,Data Analytics,42,27,69,F,9.7,4,100,5.27,PASS
338,BCA Semester Exam,Suresh Mehta,ABC College,6T7AV57NUA,983496,DBMS,29,3,32,F,5.9,2,100,5.41,FAIL
339,BCA Semester Exam,Amit Kumar,Sunshine Institute,9NUS20A1YU,101938,.NET Technology,44,13,57,C,5.65,2,100,8.94,PASS
340,BCA Semester Exam,Divya Mehta,Paramount Institute,SND1I93PPG,866420,Machine Learning,61,27,88,A,6.58,5,100,8.79,PASS
341,BCA Semester Exam,Priya Sen,Sunshine Institute,X0L11THESP,256193,DBMS,42,13,55,F,9.2,2,100,6.8,PASS
342,BCA Semester Exam,Neha Rana,Global Science College,3R3PIHVIIT,659786,C Programming,11,23,34,A,6.58,3,100,9.07,FAIL
343,BCA Semester Exam,Divya Tiwari,XYZ Institute,HCOQ5EA02R,289717,Artificial Intelligence,14,28,42,A,6.96,3,100,8.78,PASS
344,BCA Semester Exam,Karan Mehta,Sunshine Institute,H6CPIF9UBP,652021,Mathematics,18,30,48,E,9.21,2,100,4.02,PASS
345,BCA Semester Exam,Rohan Joshi,XYZ Institute,LB06INV028,350099,C Programming,45,14,59,F,6.37,1,100,5.65,PASS
346,BCA Semester Exam,Amit Mehta,Paramount Institute,9UTQE8YOMD,746549,Mathematics,43,18,61,B,7.58,1,100,9.53,PASS
347,BCA Semester Exam,Manoj Rana,Paramount Institute,PB8WGRPEUB,640034,Artificial Intelligence,1,14,15,E,6.12,4,100,7.43,FAIL
348,BCA Semester Exam,Rohan Shah,XYZ Institute,NMWZALFPAV,758070,Computer Networks,39,0,39,D,6.29,2,100,4.17,FAIL
349,BCA Semester Exam,Sneha Chauhan,Paramount Institute,DQJI0RVBGT,811376,Computer Networks,20,9,29,A,9.31,4,100,9.12,FAIL
350,BCA Semester Exam,Heena Mehta,Sunshine Institute,9ZLQKEVPL7,961281,Operating Systems,47,27,74,A,6.74,2,100,6.68,PASS
351,BCA Semester Exam,Heena Kumar,ABC College,84P4T70S6X,725912,DBMS,42,20,62,D,7.62,4,100,9.66,PASS
352,BCA Semester Exam,Sneha Shah,Royal Academy,KWGAXXNHAE,227937,C Programming,66,21,87,A,6.28,1,100,5.46,PASS
353,BCA Semester Exam,Neha Shah,Bright Future College,XU4E6QEGCJ,239444,Software Engineering,34,30,64,A,6.83,3,100,4.2,PASS
354,BCA Semester Exam,Manoj Gupta,XYZ Institute,COIO5URDNE,390472,Java Programming,45,30,75,E,9.13,3,100,5.98,PASS
355,BCA Semester Exam,Karan Rana,Global Science College,E6LRTBAHX5,732911,DBMS,7,7,14,F,7.66,5,100,7.21,FAIL
356,BCA Semester Exam,Suresh Gupta,Paramount Institute,V6DWBMLJTS,651553,Web Technology,14,23,37,C,9.31,1,100,5.46,FAIL
357,BCA Semester Exam,Rohan Sen,XYZ Institute,XC8HQVDE9T,305870,E-Commerce,66,2,68,E,5.88,5,100,9.6,PASS
358,BCA Semester Exam,Neha Joshi,Bright Future College,WBSBBXUU7G,834532,Java Programming,58,4,62,B,8.78,1,100,6.15,PASS
359,BCA Semester Exam,Manoj Kumar,Royal Academy,VIX4P865MY,460126,Big Data,5,1,6,B,8.85,2,100,6.53,FAIL
360,BCA Semester Exam,Sneha Kumar,ABC College,SPQGDFE2HT,848170,IoT,52,26,78,E,5.2,5,100,5.44,PASS
361,BCA Semester Exam,Priya Sen,XYZ Institute,I502V7SYE2,935265,DBMS,10,28,38,C,5.39,1,100,6.07,FAIL
362,BCA Semester Exam,Priya Chauhan,Sunshine Institute,XGBC2BDS6F,813349,Unix/Linux Programming,10,26,36,B,9.7,5,100,7.37,FAIL
363,BCA Semester Exam,Suresh Tiwari,XYZ Institute,WV7LP1EQZA,350684,Unix/Linux Programming,23,26,49,D,5.31,4,100,8.25,PASS
364,BCA Semester Exam,Karan Rana,Global Science College,M5MEEYGW33,229009,Big Data,54,1,55,B,8.38,1,100,5.2,PASS
365,BCA Semester Exam,Neha Patel,Global Science College,WT9U00ZMB8,735653,PHP & MySQL,32,2,34,D,8.79,5,100,8.31,FAIL
366,BCA Semester Exam,Manoj Joshi,ABC College,GB36QS1GKU,540146,PHP & MySQL,48,24,72,C,5.32,5,100,7.77,PASS
367,BCA Semester Exam,Priya Patel,XYZ Institute,VUI6B6SRFA,850425,E-Commerce,62,1,63,D,8.34,4,100,8.43,PASS
368,BCA Semester Exam,Divya Sen,Global Science College,ZEHM0FCI9X,694829,Java Programming,6,9,15,D,6.73,2,100,8.26,FAIL
369,BCA Semester Exam,Karan Rana,XYZ Institute,J6D9F5K2H7,739890,Digital Electronics,10,4,14,F,9.29,3,100,4.66,FAIL
370,BCA Semester Exam,Amit Kumar,Paramount Institute,163UJ528ZQ,765630,Python Programming,11,17,28,D,7.85,1,100,5.88,FAIL
371,BCA Semester Exam,Heena Kumar,Royal Academy,XK4VLLF8OT,159380,Web Technology,55,8,63,C,5.17,2,100,9.75,PASS
372,BCA Semester Exam,Divya Shah,Paramount Institute,6TLUWK66MW,819965,Software Engineering,69,4,73,C,5.78,5,100,8.12,PASS
373,BCA Semester Exam,Priya Gupta,Royal Academy,E50FCU1MJS,351620,IoT,36,6,42,C,9.78,1,100,8.01,PASS
374,BCA Semester Exam,Sneha Patel,Paramount Institute,R2VFIC1GN8,713504,Data Analytics,48,4,52,F,9.78,1,100,7.2,PASS
375,BCA Semester Exam,Heena Rana,Paramount Institute,O164MI37VG,695154,Cyber Security,61,11,72,D,8.31,1,100,6.23,PASS
376,BCA Semester Exam,Divya Patel,Bright Future College,ACAILU1AG9,651726,Computer Fundamentals,25,23,48,B,4.55,4,100,9.32,PASS
377,BCA Semester Exam,Rohan Chauhan,Bright Future College,LLMJ1EBCQY,205429,Data Structures,3,0,3,D,8.84,4,100,6.34,FAIL
378,BCA Semester Exam,Sneha Patel,ABC College,41G7LX5GSB,857087,Big Data,7,2,9,B,5.17,5,100,9.85,FAIL
379,BCA Semester Exam,Amit Gupta,Sunshine Institute,W2CDWUSANU,632948,DBMS,70,13,83,E,8.01,3,100,6.74,PASS
380,BCA Semester Exam,Rohan Sen,ABC College,Z487AUMCKS,124659,Unix/Linux Programming,68,29,97,F,6.75,3,100,9.5,PASS
381,BCA Semester Exam,Manoj Sen,Royal Academy,RGKREN12CZ,831609,Web Technology,24,13,37,F,7.06,4,100,5.87,FAIL
382,BCA Semester Exam,Neha Joshi,Royal Academy,SRIRDFF2RP,724240,Artificial Intelligence,2,6,8,D,5.25,2,100,7.92,FAIL
